Domain (# inst),%solve,time,size
acrobatics(8),1,15.2625,127.5
beam-walk(11),1,23.48545455,1488.727273
blocks-1(15),1,0.077333333,15.13333333
blocks-2(15),1,0.390666667,33.66666667
doors(15),0.8,1.513333333,22
earth_obs-1(20),1,0.17,62.5
earth_obs-2(20),1,0.773,234.4
elevators-1(10),1,0.072,29.1
elevators-2(5),1,0.456,81.4
faults-1(20),1,0.02,9.8
faults-2(20),1,0.058,16.65
faults-3(15),1,0.086666667,20.4
first_resp-1(30),0.633333333,0.02,10.73684211
first_resp-2(40),0.825,1.151515152,17.87878788
first_resp-3(30),0.766666667,0.124347826,24.43478261
islands-1(30),0.766666667,96.33913043,5.391304348
islands-2(30),0.266666667,141.63,11
miner-1(30),0.366666667,576.0927273,20.81818182
miner-2(21),0.095238095,327.76,25
spiky-tireworld(11),0.090909091,66.14,23
t_tireworld-1(20),1,2.702,125
t_tireworld-2(20),1,216.939,365
tireworld(15),0.8,0.046666667,10.08333333
ttire_truck-1(24),0.375,200.1755556,18.77777778
ttire_truck-2(25),0.32,476.25,27.125
ttire_truck-3(25),0.16,369.235,21
zenotravel(15),1,1.924,54.6
