Domain (# inst),#at,#acts,%solve,time,size
acrobatics(8:1-8),67.5,623.5,0.375,20.43513366666667,9.333333333333334
beam-walk(11:1-11),746.3636363636364,2231.090909090909,0.18181818181818182,2.981682,12.0
doors(15:1-15),48.0,69.0,0.6,484.0075378888889,13.0
spiky-tireworld(11:1-11),243.45454545454547,462.54545454545456,0.2727272727272727,2416.9598146666667,23.0
tireworld(15:1-15),63.93333333333333,304.0,0.8,0.6876272499999999,5.583333333333333
zenotravel(15:1-15),377.3333333333333,8424.0,0.3333333333333333,50.4092578,12.8
blocksworld-ipc08(15:1-15),78.66666666666667,1350.0,0.6666666666666666,21.6618124,11.0
blocksworld-ipc08(15:16-30),238.66666666666666,8116.666666666667,0.0,,
earth_observation(20:1-20),46.3,87.7,0.25,8.724813000000001,9.8
earth_observation(20:21-40),110.1,224.3,0.0,,
elevators(10:1-10),64.0,58.8,0.6,491.4296719999999,14.666666666666666
elevators(5:11-15),123.0,116.4,0.0,,
faults-ipc08(20:1-20),43.65,35.5,1.0,18.75558585,9.8
faults-ipc08(20:21-40),84.55,92.5,0.4,1916.406395875,14.875
faults-ipc08(15:41-55),129.6,174.0,0.0,,
first-responders-ipc08(30:1-30),37.833333333333336,55.03333333333333,0.5666666666666667,305.8016015294118,9.235294117647058
first-responders-ipc08(40:31-70),99.4,436.35,0.45,682.6358345555556,10.277777777777779
first-responders-ipc08(30:71-100),172.33333333333334,1333.6666666666667,0.26666666666666666,596.9410933749999,9.875
islands(30:1-30),100.8,333.4,1.0,0.6448784,5.6
islands(30:31-60),388.96666666666664,1588.6,1.0,88.64366550000001,10.4
miner(30:1-30),587.5333333333333,1209.0333333333333,1.0,164.28604496666665,19.066666666666666
miner(21:31-51),1410.6190476190477,2920.5714285714284,0.9047619047619048,913.3896454210526,22.42105263157895
tireworld-truck(24:1-24),64.08333333333333,111.75,1.0,48.073058624999994,11.708333333333334
tireworld-truck(25:25-49),80.8,150.4,0.96,876.238924375,15.833333333333334
tireworld-truck(25:50-74),101.68,198.72,0.76,1450.0429893157896,16.894736842105264
triangle-tireworld(20:1-20),669.5,1406.0,0.1,14.144297,12.0
triangle-tireworld(20:21-40),4129.5,9006.0,0.0,,
