Domain (# inst),#at,#acts,%solve,time,size
acrobatics(8:1-8),67.5,623.5,0.375,6.066671333333333,9.333333333333334
beam-walk(11:1-11),746.3636363636364,2231.090909090909,0.18181818181818182,9.3395595,12.0
blocksworld-ipc08(30:1-30),158.66666666666666,4733.333333333333,0.3333333333333333,26.698214399999994,11.0
doors(15:1-15),48.0,69.0,0.6,485.8429534444444,13.0
earth_observation(40:1-40),78.2,156.0,0.125,11.790681800000002,9.8
elevators(15:1-15),83.66666666666667,78.0,0.4,462.48057833333337,14.666666666666666
faults-ipc08(55:1-55),81.96363636363637,94.0,0.509090909090909,517.2461878571429,11.25
first-responders-ipc08(100:1-100),102.81,591.15,0.43,781.6838161395349,9.790697674418604
islands(60:1-60),244.88333333333333,961.0,1.0,43.09288321666667,8.0
miner(50:1-50),937.2,1936.02,0.92,368.17301760869566,20.17391304347826
spiky-tireworld(11:1-11),243.45454545454547,462.54545454545456,0.18181818181818182,2751.6578355,23.0
tireworld-truck(74:1-74),82.43243243243244,154.1891891891892,0.8783783783783784,764.7393569076924,14.538461538461538
tireworld(15:1-15),63.93333333333333,304.0,0.8,1.1389160833333334,5.583333333333333
triangle-tireworld(40:1-40),2399.5,5206.0,0.05,25.0816565,12.0
zenotravel(15:1-15),377.3333333333333,8424.0,0.3333333333333333,58.700949200000004,12.8
