Domain (# inst),%solve,time,size
acrobatics(8:1-8),1.0,17.0125,127.5
beam-walk(11:1-11),1.0,25.84363636363636,1488.7272727272727
blocksworld-ipc08(30:1-30),1.0,0.29,24.4
doors(15:1-15),0.8,1.7766666666666666,22.0
earth_observation(40:1-40),1.0,0.549,148.45
elevators(15:1-15),1.0,0.24933333333333335,46.53333333333333
faults-ipc08(55:1-55),1.0,0.05854545454545457,15.181818181818182
first-responders-ipc08(100:1-100),0.75,0.6106666666666666,18.08
islands(60:1-60),0.5166666666666667,134.82,6.838709677419355
miner(50:1-50),0.22,437.0,20.636363636363637
spiky-tireworld(11:1-11),0.09090909090909091,69.56,23.0
tireworld-truck(74:1-74),0.2702702702702703,319.564,22.4
tireworld(15:1-15),0.8,0.07666666666666667,10.083333333333334
triangle-tireworld(40:1-40),1.0,158.17149999999998,245.0
zenotravel(15:1-15),1.0,3.246666666666667,54.6
